Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Haverhill,MA,01830,1,2026-03-13,314000.0,314000.0,314000.0,314000.0,294000.0,362,7,4,redfin,10.61,database,3331.54,277.63,303500,747500,503078,12,decreasing
Easton,MA,02375,1,2026-03-13,313750.0,313750.0,313750.0,313750.0,314450.0,338,4,1,redfin,12.59,database,3950.11,329.18,312500,751000,488950,12,decreasing
Stoughton,MA,02072,1,2026-03-13,313000.0,313000.0,313000.0,313000.0,399000.0,369,9,3,redfin,11.81,database,3696.53,308.04,313000,750000,527666,12,decreasing
Lowell,MA,01850,1,2026-03-13,312500.0,312500.0,312500.0,312500.0,265000.0,290,4,4,redfin,11.35,database,3546.88,295.57,312500,712500,456754,12,decreasing
Fitchburg,MA,01420,1,2026-03-13,310000.0,310000.0,310000.0,310000.0,315000.0,259,8,7,redfin,13.29,database,4119.9,343.32,240000,525000,401208,12,increasing
Lowell,MA,01854,1,2026-03-13,308000.0,308000.0,308000.0,308000.0,289999.0,307,17,7,redfin,11.35,database,3495.8,291.32,308000,701000,466116,12,decreasing
Lynn,MA,01904,1,2026-03-13,295000.0,295000.0,295000.0,295000.0,389450.0,419,5,4,redfin,10.3,database,3038.5,253.21,295000,920000,607583,12,decreasing
Framingham,MA,01702,1,2026-03-13,270000.0,270000.0,270000.0,270000.0,269900.0,357,11,9,redfin,11.83,database,3194.1,266.18,220000,729500,519500,12,decreasing
Lawrence,MA,01843,1,2026-03-13,250000.0,250000.0,250000.0,250000.0,239499.5,371,4,1,redfin,8.64,database,2160.0,180.0,250000,880000,496625,12,decreasing
Leominster,MA,01453,1,2026-03-13,245000.0,245000.0,245000.0,245000.0,214950.0,236,5,4,redfin,13.66,database,3346.7,278.89,245000,597500,413812,12,decreasing
Holliston,MA,01746,1,2026-03-13,235000.0,235000.0,235000.0,235000.0,229900.0,310,5,2,redfin,14.29,database,3358.15,279.85,235000,753100,583091,12,stable
Wrentham,MA,02093,1,2026-03-13,225000.0,225000.0,225000.0,225000.0,,251,1,0,redfin,11.67,database,2625.75,218.81,225000,800000,571966,12,decreasing
Boxborough,MA,01719,1,2026-03-13,220000.0,220000.0,220000.0,220000.0,202250.0,265,3,9,redfin,15.39,database,3385.8,282.15,220000,894000,611083,12,decreasing
