Rank,Town,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Price_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
118,Georgetown,MA,01833,59.3,C-,47.5,76.9,68.0,8.9,47.25,37,98,33,34,2026-03-25,745000.0,358,31,8,13.76,854.27,decreasing,524500,785000,-8
119,Litchfield,NH,03052,59.0,C-,41.0,86.1,77.4,8.7,53.09,45,108,36,34,2026-03-25,640000.0,336,37,11,14.2,757.33,stable,491000,760000,3
120,Winthrop,MA,02152,59.0,C-,44.9,80.2,70.2,10.0,49.63,39,91,26,34,2026-03-25,720000.0,424,25,7,11.14,668.4,increasing,476000,950000,-1
121,Sharon,MA,02067,58.6,C-,48.2,74.1,67.3,6.8,46.61,37,75,30,34,2026-03-25,752000.0,359,43,8,17.15,1074.73,decreasing,294000,935000,-14
122,Windham,NH,03087,58.5,C-,46.1,77.2,68.5,8.7,48.51,39,104,35,34,2026-03-25,739000.0,306,35,17,14.14,870.79,decreasing,739000,870000,-6
123,Northbridge,MA,01534,58.3,C-,36.2,91.5,81.5,10.0,57.39,47,92,39,34,2026-03-25,594950.0,252,2,0,11.63,576.61,increasing,545000,659900,6
124,Shrewsbury,MA,01545,57.9,C-,39.2,85.9,75.9,10.0,54.74,47,93,36,34,2026-03-25,657000.0,312,73,45,11.5,629.62,increasing,290000,785000,4
125,Haverhill,MA,01832,57.5,C-,46.3,74.4,64.4,10.0,48.35,40,95,37,34,2026-03-25,785000.0,303,11,2,10.61,694.07,increasing,320000,802500,-5
126,Lynn,MA,01902,57.5,C-,47.1,73.0,63.0,10.0,47.6,37,92,22,34,2026-03-25,800000.0,297,12,9,10.3,686.67,increasing,322950,820000,-5
127,Quincy,MA,02171,57.5,C-,43.3,78.9,68.9,10.0,51.02,39,87,31,34,2026-03-25,735000.0,465,35,15,11.78,721.52,decreasing,421000,1134000,0
128,Abington,MA,02351,57.2,C-,35.6,89.7,80.1,9.6,58.0,46,92,36,34,2026-03-25,610000.0,343,29,10,12.81,651.18,increasing,248500,897500,5
129,Haverhill,MA,01835,57.0,C-,46.3,73.0,63.0,10.0,48.35,40,95,37,34,2026-03-25,800000.0,316,5,0,10.61,707.33,increasing,410000,800000,-5
130,Grafton,MA,01560,56.1,C-,36.6,85.3,76.3,9.0,57.09,47,93,42,34,2026-03-25,652025.0,341,4,3,13.69,743.85,stable,442000,760000,4
131,Brockton,MA,02301,55.8,C-,39.9,79.6,69.6,10.0,54.1,42,90,36,34,2026-03-25,726500.0,282,20,14,11.63,704.1,increasing,265000,726500,1
132,Millis,MA,02054,55.7,C-,43.1,74.6,66.6,8.0,51.18,43,80,29,34,2026-03-25,760000.0,350,31,14,15.31,969.63,increasing,430000,1150000,-6
133,Weymouth,MA,02190,53.9,D,43.1,70.2,60.2,10.0,51.22,37,88,33,34,2026-03-25,850000.0,327,3,0,10.12,716.83,increasing,321700,905000,2
134,Hopedale,MA,01747,53.1,D,34.3,81.2,73.8,7.4,59.17,49,97,39,34,2026-03-25,680000.0,332,1,0,16.25,920.83,increasing,410000,680000,New
135,Rowley,MA,01969,52.8,D,40.5,71.2,61.2,10.0,53.53,44,108,38,34,2026-03-25,837500.0,371,10,4,12.09,843.78,stable,335950,940000,3
136,Quincy,MA,02169,52.3,D,43.3,65.8,55.8,10.0,51.02,39,87,31,34,2026-03-25,893800.0,375,17,10,11.78,877.41,increasing,388500,900000,0
137,Westborough,MA,01581,52.0,D,44.9,62.6,55.0,7.6,49.58,38,85,30,34,2026-03-25,900000.0,308,1,0,15.93,1194.75,increasing,444444,900000,-6
138,Nahant,MA,01908,51.9,D,41.1,68.2,58.2,10.0,52.98,42,100,25,34,2026-03-25,871890.0,624,6,5,8.99,653.19,increasing,579900,871890,1
139,Hollis,NH,03049,51.3,D,45.0,60.7,55.0,5.7,49.49,42,102,35,34,2026-03-25,900000.0,265,23,7,18.9,1417.5,stable,500000,1000000,-9
140,Norfolk,MA,02056,51.1,D,41.4,65.7,57.4,8.2,52.74,44,83,30,34,2026-03-25,879000.0,323,29,10,14.87,1089.23,stable,720000,879000,-3
