Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Easton,37.2,6.218710888610763,159.0,25568,42.4,24.7,58.6,0.31289111389236546,1.2515644555694618,0.8995619524405507,8.0,32.0,23.0
Edgartown,21.4,8.445945945945946,45.0,5328,34.9,23.7,12.7,0.37537537537537535,1.313813813813814,2.627627627627628,2.0,7.0,14.0
Egremont,8.6,13.818181818181818,19.0,1375,3.3,19.1,18.1,1.4545454545454544,1.4545454545454544,2.181818181818182,2.0,2.0,3.0
Erving,62.8,3.6122817579771223,6.0,1661,90.6,52.3,28.0,0.0,0.6020469596628537,1.8061408789885611,0.0,1.0,3.0
Essex,32.6,6.648936170212766,25.0,3760,48.0,31.6,19.1,0.26595744680851063,1.0638297872340425,2.127659574468085,1.0,4.0,8.0
Everett,11.5,12.291365171249398,637.0,51825,4.9,40.1,7.2,1.2928123492522914,0.8490110950313555,3.2802701398938736,67.0,44.0,170.0
Fairhaven,75.0,2.561699468915964,41.0,16005,59.2,81.6,59.5,0.18744142455482662,0.2499218994064355,0.8747266479225242,3.0,4.0,14.0
Fall River,0.3,32.6753899608191,3094.0,94689,2.0,0.3,12.2,1.8270337631615077,6.94906483329637,2.6930266451224534,173.0,658.0,255.0
Falmouth,22.4,8.336593734011498,277.0,33227,36.5,17.4,27.0,0.3611520751196316,1.5649923255184037,1.8358563818581275,12.0,52.0,61.0
Fitchburg,5.3,15.826313916241546,667.0,42145,10.9,3.9,22.4,0.9491042828330762,3.0371337050658442,1.9693913868786332,40.0,128.0,83.0
Foxborough,26.6,7.503592145175882,141.0,18791,54.9,19.7,18.8,0.2128678622744931,1.4368580703528284,2.128678622744931,4.0,27.0,40.0
Framingham,5.9,15.48506699745096,1136.0,73361,4.6,7.6,16.8,1.3222284320006543,2.2082577936505774,2.2491514564959583,97.0,162.0,165.0
Franklin,58.6,3.8824017544899534,131.0,33742,53.0,48.4,65.5,0.23709323691541698,0.6520064015173967,0.7409163653606781,8.0,22.0,25.0
